Workflow Name,Block Type,Block Name,Block Duration,Block Assignees,Block Logic Name,Block Logic Condition,Form Name,Form Section,Form Section Logic Name,Form Section Logic Condition,Question Type,Question ID,Question Title,Question Description,Question Logic Name,Question Logic Condition,Question Core Data
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ1,Which aggregated function the third party service connected to?,Please select ALL of the following options that apply. To understand which aggregated function your service falls into consult the dedicated wiki page - [Aggregated Functions](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,,
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ2,Which Account - Account function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""OR"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Account - Account""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ3,Which Account - Receive function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""OR"",""items"":[{""key"":1,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Account - Receive""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ4,Which Account - Spend function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""OR"",""items"":[{""key"":1,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Account - Spend""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ5,Which Banking function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Banking""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ6,Which Brand and Marketing function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Brand and Marketing""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ7,Which Compliance function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page.  [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Compliance""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ8,Which Finance and Treasury - Finance function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Finance and Treasury - Finance""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ9,Which Finance and Treasury - Pricing function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Finance and Treasury - Pricing""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ10,Which Finance and Treasury - Treasury function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Finance and Treasury - Treasury""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ11,Which Payment Processing - Application Platform function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Payment Processing - Application Platform""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ12,Which Payment Processing - Regional Infrastructure function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Payment Processing - Regional Infrastructure""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ13,Which Payment Processing - Regional Platform function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Payment Processing - Regional Platform""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ14,Which People function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""People""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ15,Which Platform - Cloud Platform function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Platform - Cloud Platform""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ16,Which Platform - Data function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into consult the dedicated wiki page [Aggregated Functions & Functions in Wise](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Platform - Data""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ17,Which Platform - Development Enablement function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Platform - Development Enablement""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ18,Which Platform - Employee UT function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Platform - Employee UT""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ19,Which Platform - Reliability & Observability function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Platform - Reliability & Observability""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ20,Which Platform - Security function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Platform - Security""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ21,Which Servicing - Fincrime Risk function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Servicing - Fincrime Risk""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ22,Which Servicing - Fincrime Servicing Platform function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Servicing - Fincrime Servicing Platform""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ23,Which Servicing - Fraud function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Servicing - Fraud""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ24,Which Servicing - KYC & AML Group function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Servicing - KYC & AML Group""}}]}",
New Service or Third Party Onboarding,Task,Main Assessment (Third Party),7 Days,Requestor,,"{""comparisons"":[{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""EQUAL"",""primaryField"":{""type"":""VARIABLE"",""value"":""newPurchaseRequestV03-page-5-question-3"",""questionType"":""radioGroup""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Yes, there is potential conflict of interest""}}]}],""action"":""copy"",""sourceIds"":[""group-0-0""]}",form-template-Third Party Main Assessment V4.1,Admin,,,Checkbox,MainAssessmentQ25,Which Servicing - Customer Support and Complaints function is connected to the third party service?,Please select ALL of the following options that apply:To understand which function your services fall into check the wiki page. [Link](https://transferwise.atlassian.net/wiki/spaces/~63c96dcbe28ec74364cca0ab/pages/3125809874/Aggregated+Functions+Functions+in+Wise),,"{""key"":0,""type"":""AND"",""items"":[{""key"":0,""type"":""SINGLE"",""operator"":""CONTAINS"",""primaryField"":{""type"":""VARIABLE"",""value"":""MainAssessmentQ1"",""questionType"":""checkbox""},""secondaryField"":{""type"":""VARIABLE"",""value"":""Servicing - Customer Support and Complaints""}}]}",
